Price,Close,High,Low,Open,Volume
Ticker,TD,TD,TD,TD,TD
Date,,,,,
2018-01-02,43.149803161621094,43.32559717301347,42.86414033799062,43.08388075661783,1424500
2018-01-03,43.340248107910156,43.47941919471911,43.127833933675035,43.127833933675035,854000
2018-01-04,43.82367706298828,43.86762347034098,43.41349289807326,43.530687974598834,1233800
2018-01-05,44.204551696777344,44.32174675403054,44.05073370803575,44.21187795956536,1015700
2018-01-08,44.09469223022461,44.34373212883906,44.06539276117557,44.14596490398483,1047100
2018-01-09,43.823699951171875,44.11905879364551,43.61695045149074,44.00829852353022,1091100
2018-01-10,43.55048751831055,44.03044485231155,43.388039900633245,43.69816691467626,1289000
2018-01-11,43.432342529296875,43.70554756888322,43.37327246356878,43.66124572377466,829600
2018-01-12,43.46188735961914,43.55049388368929,43.29205701483859,43.491423806559396,1012000
2018-01-16,43.56526184082031,43.78677955801674,43.46188709391202,43.72032396118275,1280700
2018-01-17,43.683414459228516,43.89016399870875,43.328985470083296,43.72771913915337,1251500
2018-01-18,43.83846664428711,43.84585216430395,43.5504933321432,43.66125359839113,894300
2018-01-19,43.74986267089844,44.155978976223295,43.73509444675471,43.8680056472975,894600
2018-01-22,44.0969123840332,44.466109566574005,43.934464722354946,43.934464722354946,1062300
2018-01-23,44.2519645690918,44.370107528255595,43.867999247621874,44.119053387938735,1132100
2018-01-24,44.318424224853516,44.58424661154267,43.97137801814817,44.53255923821429,1521000
2018-01-25,44.43656921386719,44.63593601294245,44.082140287761405,44.39226454182244,1214500
2018-01-26,44.39226531982422,44.58424941863203,44.2741223423851,44.39965084033647,1236700
2018-01-29,44.473487854003906,44.48087337430177,44.1781318273549,44.303657504911826,1459000
2018-01-30,44.709774017333984,44.78361513691485,44.31104042184942,44.34057686968176,1297800
2018-01-31,44.90175247192383,45.086351022564735,44.76145577071652,44.842679583678574,1263800
2018-02-01,44.89436721801758,45.06419754760153,44.510401892403735,44.842679848872486,1290900
2018-02-02,43.934452056884766,44.83529382394901,43.927069354732666,44.56947147847102,1384900
2018-02-05,42.22877502441406,43.609574590364204,42.16970493670157,43.506197007552885,2185200
2018-02-06,42.309993743896484,42.40598579366772,40.72244765453019,41.20240226988479,2446100
2018-02-07,42.132781982421875,42.47244270222116,42.00725348012596,42.38383617026284,1472800
2018-02-08,41.593753814697266,42.19185141717383,41.44607438586634,42.18446871327015,1936200
2018-02-09,41.51252746582031,41.770964338009435,40.8701224119491,41.770964338009435,1876900
2018-02-12,41.793113708496094,41.948178642784654,41.4091511746164,41.793113708496094,1224200
2018-02-13,41.88911056518555,41.97033439325598,41.69712927617887,41.83004048270306,1050300
2018-02-14,42.730873107910156,42.93762540676422,41.56421169450342,41.778346696253855,1467500
2018-02-15,43.04100799560547,43.12223182602751,42.472443999402174,42.959784165183436,1057400
2018-02-16,42.686580657958984,43.01885587973143,42.642275980572165,42.88594748107309,1389900
2018-02-20,42.35430145263672,42.64227480584016,42.206622015500066,42.47982714331474,1370400
2018-02-21,42.65703582763672,43.00408202378872,42.413364374997954,42.42813259789277,1087100
2018-02-22,42.538883209228516,42.94499938806222,42.42812297102393,42.84162466800454,1624300
2018-02-23,43.14438247680664,43.14438247680664,42.61273763875191,42.71611239798457,1148500
2018-02-26,43.454490661621094,43.49141261917421,42.98191889914007,43.18867115778794,1161600
2018-02-27,43.53572463989258,43.83108346887172,43.129608362609176,43.27728777709874,1818300
2018-02-28,42.80470657348633,43.690777233775385,42.80470657348633,43.54310066822717,1937700
2018-03-01,43.12961196899414,43.321593252158166,42.80471948335087,43.151762897157084,2401300
2018-03-02,42.74564743041992,42.819488553673224,42.27307550860215,42.74564743041992,2562800
2018-03-05,42.841644287109375,42.91548260189306,42.11801809857492,42.20662463966557,1523900
2018-03-06,43.32158660888672,43.48403423517276,43.04099883934765,43.166524502022966,1774100
2018-03-07,43.432342529296875,43.43972804798168,42.94500251585229,43.01145810026519,1169300
2018-03-08,43.447120666503906,43.609568313646655,43.19606649216998,43.49142533847485,1625700
2018-03-09,43.71293258666992,43.772002651721145,43.29204816246107,43.67601344391915,1585100
